,File_Name,Crawl_Date,Crawl_Url
69,file_69,03/10/2019 20:58:31,https://au.indeed.com/jobs?q=&l=Australia&start=680
70,file_70,03/10/2019 20:58:38,https://au.indeed.com/jobs?q=&l=Australia&start=690
71,file_71,03/10/2019 20:58:47,https://au.indeed.com/jobs?q=&l=Australia&start=700
72,file_72,03/10/2019 20:59:00,https://au.indeed.com/jobs?q=&l=Australia&start=710
73,file_73,03/10/2019 20:59:12,https://au.indeed.com/jobs?q=&l=Australia&start=720
74,file_74,03/10/2019 20:59:24,https://au.indeed.com/jobs?q=&l=Australia&start=730
75,file_75,03/10/2019 20:59:37,https://au.indeed.com/jobs?q=&l=Australia&start=740
76,file_76,03/10/2019 20:59:45,https://au.indeed.com/jobs?q=&l=Australia&start=750
77,file_77,03/10/2019 20:59:53,https://au.indeed.com/jobs?q=&l=Australia&start=760
78,file_78,03/10/2019 21:00:02,https://au.indeed.com/jobs?q=&l=Australia&start=770
79,file_79,03/10/2019 21:00:09,https://au.indeed.com/jobs?q=&l=Australia&start=780
80,file_80,03/10/2019 21:00:18,https://au.indeed.com/jobs?q=&l=Australia&start=790
81,file_81,03/10/2019 21:00:29,https://au.indeed.com/jobs?q=&l=Australia&start=800
82,file_82,03/10/2019 21:00:38,https://au.indeed.com/jobs?q=&l=Australia&start=810
83,file_83,03/10/2019 21:00:45,https://au.indeed.com/jobs?q=&l=Australia&start=820
84,file_84,03/10/2019 21:00:53,https://au.indeed.com/jobs?q=&l=Australia&start=830
85,file_85,03/10/2019 21:01:04,https://au.indeed.com/jobs?q=&l=Australia&start=840
86,file_86,03/10/2019 21:01:12,https://au.indeed.com/jobs?q=&l=Australia&start=850
87,file_87,03/10/2019 21:01:19,https://au.indeed.com/jobs?q=&l=Australia&start=860
88,file_88,03/10/2019 21:01:26,https://au.indeed.com/jobs?q=&l=Australia&start=870
89,file_89,03/10/2019 21:01:41,https://au.indeed.com/jobs?q=&l=Australia&start=880
90,file_90,03/10/2019 21:01:50,https://au.indeed.com/jobs?q=&l=Australia&start=890
91,file_91,03/10/2019 21:01:57,https://au.indeed.com/jobs?q=&l=Australia&start=900
92,file_92,03/10/2019 21:02:16,https://au.indeed.com/jobs?q=&l=Australia&start=910
93,file_93,03/10/2019 21:02:31,https://au.indeed.com/jobs?q=&l=Australia&start=920
94,file_94,03/10/2019 21:02:47,https://au.indeed.com/jobs?q=&l=Australia&start=930
95,file_95,03/10/2019 21:02:55,https://au.indeed.com/jobs?q=&l=Australia&start=940
96,file_96,03/10/2019 21:03:04,https://au.indeed.com/jobs?q=&l=Australia&start=950
97,file_97,03/10/2019 21:03:13,https://au.indeed.com/jobs?q=&l=Australia&start=960
98,file_98,03/10/2019 21:03:22,https://au.indeed.com/jobs?q=&l=Australia&start=970
99,file_99,03/10/2019 21:03:29,https://au.indeed.com/jobs?q=&l=Australia&start=980
100,file_100,03/10/2019 21:03:38,https://au.indeed.com/jobs?q=&l=Australia&start=990
